time,Bx,By,Bz,BT
3.528323,0.43,36.69,-21.90,42.73
3.539440,0.99,36.77,-22.37,43.05
3.548589,0.99,36.56,-22.41,42.89
3.557748,1.18,36.47,-22.65,42.95
3.568249,0.96,36.24,-22.58,42.71
3.578682,0.94,36.21,-22.71,42.75
3.595868,0.94,36.06,-22.67,42.60
3.598454,0.86,36.00,-22.76,42.60
3.609027,0.81,36.00,-22.82,42.63
3.618829,0.53,35.93,-22.82,42.56
3.628405,0.49,36.08,-22.58,42.56
3.641101,0.68,35.93,-22.65,42.47
3.649611,0.96,35.98,-22.48,42.44
3.657928,1.03,36.24,-22.48,42.66
3.668249,1.01,36.26,-22.59,42.74
3.678513,0.73,36.32,-22.18,42.56
3.688542,0.88,36.34,-22.35,42.67
3.700560,0.64,36.62,-22.16,42.81
3.713737,0.58,36.66,-22.16,42.84
3.718184,0.24,36.79,-22.26,43.00
3.727663,0.04,36.98,-22.29,43.18
3.737847,0.09,36.96,-22.56,43.30
3.748433,0.15,36.94,-22.58,43.29
3.758764,0.39,36.94,-22.71,43.36
3.774974,0.36,36.79,-22.46,43.10
3.779529,0.54,36.73,-22.26,42.95
3.788439,0.66,36.73,-22.41,43.03
3.798457,0.75,36.68,-22.22,42.89
3.816736,0.77,36.73,-22.33,42.99
3.819040,0.71,36.54,-22.26,42.79
3.827952,0.51,36.54,-22.01,42.66
3.839952,0.53,36.60,-22.11,42.76
3.848308,0.53,36.60,-22.44,42.94
3.858293,0.43,36.54,-22.44,42.89
3.868552,0.36,36.34,-22.63,42.81
3.878289,0.19,36.24,-22.41,42.61
3.897499,0.17,36.13,-22.39,42.51
3.898941,0.41,36.23,-22.54,42.67
3.909008,0.24,36.38,-22.76,42.91
3.917929,0.47,36.23,-23.08,42.96
3.928112,0.56,36.17,-22.89,42.81
3.938024,0.66,36.21,-22.99,42.89
3.948273,0.58,36.30,-22.88,42.91
3.958179,0.79,36.54,-22.97,43.17
3.969382,0.99,36.41,-23.03,43.09
3.978315,0.92,36.24,-22.88,42.87
3.988505,1.26,36.08,-22.78,42.68
3.999345,1.05,36.19,-22.61,42.68
4.012247,0.96,36.36,-22.59,42.82
4.017775,1.09,36.13,-22.82,42.75
4.028126,0.99,36.09,-22.82,42.71
4.038122,0.81,36.23,-22.95,42.89
4.048228,0.73,36.41,-23.12,43.14
4.058220,0.47,36.81,-22.91,43.36
4.068287,0.36,37.05,-22.76,43.49
4.078598,0.49,36.88,-22.76,43.34
4.088100,0.47,36.96,-22.82,43.44
4.097875,0.38,36.98,-22.69,43.38
4.107391,0.49,37.01,-22.56,43.35
4.118084,0.68,36.71,-22.78,43.21
4.127719,0.66,36.41,-22.69,42.91
4.137927,0.88,36.28,-22.88,42.90
4.149039,1.01,36.09,-22.93,42.77
4.159350,0.92,36.08,-22.71,42.64
4.168423,1.07,36.04,-22.86,42.69
4.178419,0.98,36.08,-22.86,42.72
4.188006,0.98,36.08,-22.73,42.65
4.199070,1.05,36.23,-22.63,42.73
4.214270,0.98,36.51,-22.54,42.91
4.218087,0.62,36.38,-22.61,42.84
4.228391,0.58,36.17,-22.88,42.80
4.237611,0.38,36.43,-22.91,43.04
4.248421,0.38,36.19,-22.86,42.80
4.258439,0.26,36.24,-23.01,42.93
4.268228,0.26,36.39,-23.14,43.13
4.278428,0.13,36.34,-23.01,43.01
4.287717,0.09,36.32,-22.76,42.86
4.298383,0.26,36.45,-22.67,42.92
4.309665,-0.08,36.54,-22.29,42.81
4.317812,-0.06,36.28,-22.16,42.51
4.328132,-0.11,36.60,-21.84,42.62
4.338017,0.23,36.62,-21.98,42.71
4.348606,0.24,36.49,-22.03,42.62
4.358498,0.11,36.28,-21.96,42.41
4.368202,0.11,36.17,-22.20,42.44
4.378461,0.28,36.04,-22.20,42.33
4.388393,0.53,36.15,-22.37,42.51
4.400212,0.49,36.21,-22.56,42.66
4.411435,0.64,36.13,-23.01,42.84
4.418543,0.28,36.02,-22.63,42.54
4.428253,0.38,36.21,-22.73,42.75
4.438767,0.43,36.28,-22.82,42.86
4.448548,0.11,36.19,-22.73,42.73
4.459317,-0.02,36.17,-22.67,42.69
4.468047,-0.15,36.23,-22.67,42.73
4.478733,0.19,36.54,-22.67,43.00
4.487924,-0.04,36.34,-22.44,42.71
4.497782,0.08,36.47,-22.12,42.66
4.508982,0.11,36.38,-21.99,42.51
4.518167,0.13,36.26,-22.12,42.48
4.528438,0.58,36.39,-22.14,42.61
4.538280,0.53,36.47,-22.29,42.75
4.548205,0.43,36.34,-22.14,42.56
4.559775,0.24,36.17,-22.07,42.37
4.568516,0.34,36.21,-22.12,42.43
4.578375,0.34,36.26,-22.39,42.62
4.588626,0.32,36.15,-22.41,42.53
4.599736,0.06,36.41,-22.12,42.61
4.611951,-0.06,36.28,-22.22,42.54
4.618219,0.11,36.17,-22.37,42.53
4.627904,0.32,36.32,-22.43,42.69
4.638381,0.51,36.04,-22.58,42.53
4.648433,0.41,36.02,-22.20,42.31
4.659972,0.54,35.89,-22.39,42.30
4.667971,0.75,35.72,-22.52,42.23
4.678391,1.01,35.57,-22.54,42.12
4.687765,1.20,35.61,-22.74,42.27
4.697992,1.11,35.59,-22.33,42.03
4.711395,1.05,35.64,-22.50,42.16
4.717549,1.05,35.66,-22.46,42.16
4.727906,1.28,35.83,-22.56,42.36
4.738855,1.56,35.89,-22.74,42.52
4.748738,1.61,35.98,-22.78,42.62
4.758309,1.80,36.09,-22.99,42.83
4.768488,1.65,36.09,-22.99,42.82
4.782820,1.58,36.39,-23.14,43.15
4.787992,1.63,36.30,-23.27,43.15
4.797795,1.61,36.39,-23.16,43.17
4.807894,1.59,36.49,-23.34,43.35
4.818712,1.20,36.38,-23.27,43.20
4.828447,0.81,36.54,-23.10,43.24
4.838799,0.79,36.43,-22.99,43.08
4.848465,0.79,36.41,-22.74,42.94
4.860394,0.84,36.30,-22.61,42.78
4.868548,0.64,36.30,-22.54,42.73
4.878832,0.36,36.45,-22.50,42.84
4.888442,0.11,36.38,-22.50,42.77
4.899968,-0.04,36.39,-22.29,42.68
4.911611,0.02,36.47,-22.03,42.61
4.918568,0.06,36.77,-22.28,42.99
4.929346,-0.17,36.79,-22.12,42.93
4.938612,-0.23,36.68,-22.29,42.92
4.948008,0.23,36.30,-22.11,42.50
4.958698,0.54,36.15,-22.22,42.44
4.967922,0.75,36.08,-22.22,42.38
4.979149,0.98,36.23,-22.03,42.41
4.988492,1.03,36.17,-22.35,42.53
4.999063,0.90,35.96,-22.12,42.23
5.019814,1.14,36.19,-21.94,42.33
5.022339,1.33,36.24,-21.94,42.39
5.032987,1.14,36.51,-22.03,42.65
5.039120,1.46,36.53,-21.98,42.65
5.048424,1.43,36.39,-22.05,42.58
5.060799,1.43,36.47,-22.09,42.66
5.068729,1.56,36.38,-22.22,42.65
5.078782,1.93,36.28,-22.22,42.59
5.088870,2.29,36.13,-22.54,42.65
5.099075,2.48,35.98,-22.59,42.56
5.119562,2.55,36.11,-22.39,42.57
5.121701,2.53,36.11,-22.46,42.60
5.133262,2.78,36.08,-22.31,42.51
5.138269,3.32,36.04,-22.65,42.69
5.148319,3.84,36.02,-22.52,42.65
5.159816,3.84,36.09,-22.46,42.69
5.168259,3.99,36.17,-22.52,42.79
